method,generation,evaluations,best_so_far_mean,best_so_far_sd,unique_fraction_mean,unique_fraction_sd,mean_modules_mean,mean_modules_sd
ea_k5,60,3050,12.824566627891256,0.3340319838182682,0.976,0.021908902300206663,12.776,1.4264220974171706
ea_k5,61,3100,12.75102506285063,0.2748296262343586,0.98,0.014142135623730963,12.908000000000001,1.490006711394281
ea_k5,62,3150,12.75102506285063,0.2748296262343586,0.948,0.026832815729997444,12.732,1.0863332821929004
ea_k5,63,3200,12.75102506285063,0.2748296262343586,0.984,0.021908902300206663,12.876,1.0942942931405613
ea_k5,64,3250,12.75102506285063,0.2748296262343586,0.976,0.026076809620810618,12.968,0.6698656581733387
ea_k5,65,3300,12.75102506285063,0.2748296262343586,0.968,0.02280350850198278,12.712,0.6472402954081273
ea_k5,66,3350,12.75102506285063,0.2748296262343586,0.96,0.0374165738677394,13.108,0.515286328171047
ea_k5,67,3400,12.75102506285063,0.2748296262343586,0.98,0.024494897427831803,13.212,0.5636665681056487
ea_k5,68,3450,12.75102506285063,0.2748296262343586,0.956,0.038470768123342686,12.796,0.8289028893664206
ea_k5,69,3500,12.727644100747536,0.2745941869863997,0.968,0.010954451150103331,13.08,0.9098351499035413
ea_k5,70,3550,12.727644100747536,0.2745941869863997,0.956,0.03286335345030995,12.708,1.0200588218333295
ea_k5,71,3600,12.727644100747536,0.2745941869863997,0.968,0.036331804249169895,13.052,0.5581397674418123
ea_k5,72,3650,12.724398547544169,0.2807005871252477,0.976,0.021908902300206663,13.084,0.5935318020123268
ea_k5,73,3700,12.724398547544169,0.2807005871252477,0.988,0.010954451150103331,12.856,0.7931456360593555
ea_k5,74,3750,12.724398547544169,0.2807005871252477,0.992,0.010954451150103331,13.12,0.5849786320883867
ea_k5,75,3800,12.724398547544169,0.2807005871252477,0.992,0.010954451150103331,13.144,0.994625557684901
ea_k5,76,3850,12.724398547544169,0.2807005871252477,0.976,0.026076809620810618,12.94,0.89855439456941
ea_k5,77,3900,12.70575909935859,0.2871491672665635,0.964,0.021908902300206663,12.988,0.8295299874025048
ea_k5,78,3950,12.70575909935859,0.2871491672665635,0.968,0.0268328157299975,12.884,0.9338522367055725
ea_k5,79,4000,12.70575909935859,0.2871491672665635,0.976,0.021908902300206663,12.868,0.8848276668368819
ea_k5,80,4050,12.701718278781245,0.28739252623295597,0.968,0.04147288270665543,13.124,0.9402552844839537
ea_k5,81,4100,12.701718278781245,0.28739252623295597,0.96,0.034641016151377525,13.176,0.801049311840414
ea_k5,82,4150,12.701718278781245,0.28739252623295597,0.972,0.02280350850198278,12.688,0.6484751344500423
ea_k5,83,4200,12.683738689069918,0.29188384836302916,0.952,0.036331804249169895,12.844,0.9653393185818134
ea_k5,84,4250,12.683738689069918,0.29188384836302916,0.9319999999999999,0.033466401061363,13.008,0.5940707028628833
ea_k5,85,4300,12.683738689069918,0.29188384836302916,0.984,0.021908902300206663,13.028,0.4323424568556735
ea_k5,86,4350,12.683738689069918,0.29188384836302916,0.98,0.014142135623730963,12.996,0.3642526595647586
ea_k5,87,4400,12.683738689069918,0.29188384836302916,0.98,0.024494897427831803,13.148,0.43395852336369667
ea_k5,88,4450,12.683738689069918,0.29188384836302916,0.984,0.016733200530681527,12.82,0.7039886362719218
ea_k5,89,4500,12.683738689069918,0.29188384836302916,0.972,0.0268328157299975,12.96,0.9488940931421167
ea_k5,90,4550,12.683738689069918,0.29188384836302916,0.972,0.02280350850198278,12.664,0.7377533463156911
ea_k5,91,4600,12.683738689069918,0.29188384836302916,0.96,0.014142135623730963,12.796,0.7949087998003294
ea_k5,92,4650,12.683738689069918,0.29188384836302916,0.964,0.016733200530681527,12.68,0.5486346689738082
ea_k5,93,4700,12.683738689069918,0.29188384836302916,0.976,0.008944271909999166,12.608,0.7595524998313155
ea_k5,94,4750,12.65520181845858,0.3097785475656777,0.968,0.02280350850198278,12.844,0.5185364018080121
ea_k5,95,4800,12.65520181845858,0.3097785475656777,0.952,0.03346640106136301,12.764000000000001,0.26510375327407193
ea_k5,96,4850,12.65520181845858,0.3097785475656777,0.968,0.02280350850198278,13.036,0.6876627080189824
ea_k5,97,4900,12.595201818458582,0.40895356863669485,0.984,0.016733200530681527,13.036,0.6047148088148664
ea_k5,98,4950,12.595201818458582,0.40895356863669485,0.944,0.04335896677735758,13.152000000000001,0.533778980477875
ea_k5,99,5000,12.595201818458582,0.40895356863669485,0.964,0.043358966777357594,13.048,0.7311087470410953
ea_k5,100,5050,12.595201818458582,0.40895356863669485,0.976,0.026076809620810618,12.74,0.8282511696339457
random,0,50,15.72921156930994,0.28035697085446587,0.968,0.036331804249169895,10.668,0.6891443970605865
random,1,100,15.470306853779848,0.22289463127384362,0.9359999999999999,0.021908902300206617,10.512,0.21614809737770088
random,2,150,15.326392077443268,0.20895467837602896,0.972,0.030331501776206228,10.367999999999999,0.6447635225414043
random,3,200,15.301612904604466,0.18804041468933777,0.948,0.01788854381999829,10.272,0.7932969179317417
random,4,250,15.218415403832791,0.23780424351660115,0.964,0.03577708763999663,10.616,0.4519734505477069
random,5,300,15.177342877228437,0.21856158430165426,0.96,0.020000000000000018,10.444,0.3993494710150497
random,6,350,15.168401784373374,0.2256036252482267,0.972,0.02280350850198278,10.312,0.8349371233811557
random,7,400,15.118921605897953,0.2627867866371775,0.988,0.017888543819998333,10.888,0.6582704611328086
random,8,450,15.118921605897953,0.2627867866371775,0.98,0.020000000000000018,10.44,0.8633655077659746
random,9,500,15.020470551448197,0.32345109948450435,0.94,0.03162277660168377,10.172,0.8843754858655907
random,10,550,15.020470551448197,0.32345109948450435,0.976,0.016733200530681527,10.416,0.5024738799181507
random,11,600,15.020470551448197,0.32345109948450435,0.988,0.010954451150103331,10.436,0.8180953489661212
random,12,650,14.963273140130159,0.21941821704700257,0.972,0.02280350850198278,10.244,0.7161564074976924
random,13,700,14.963273140130159,0.21941821704700257,0.964,0.008944271909999166,10.224,0.43298960726557867
random,14,750,14.719475260447588,0.41752889081416455,0.964,0.03577708763999663,10.924,0.7060311607854142
random,15,800,14.719475260447588,0.41752889081416455,0.964,0.021908902300206663,10.436,0.6380282125423612
random,16,850,14.719475260447588,0.41752889081416455,0.984,0.026076809620810618,10.628,1.0540018975314986
random,17,900,14.718464484840773,0.41765724087670375,0.992,0.017888543819998333,10.676,0.8319134570374491
random,18,950,14.718464484840773,0.41765724087670375,0.992,0.017888543819998333,10.652,0.5332166539034578
random,19,1000,14.718464484840773,0.41765724087670375,0.968,0.030331501776206186,10.624,0.7265535080088734
random,20,1050,14.718464484840773,0.41765724087670375,0.984,0.016733200530681527,10.184,0.7428862631654994
random,21,1100,14.718464484840773,0.41765724087670375,0.976,0.04335896677735759,10.052,1.0978706663355204
random,22,1150,14.709462375169798,0.40874565102053556,0.936,0.03286335345030994,9.928,0.829047646399168
random,23,1200,14.709462375169798,0.40874565102053556,0.968,0.030331501776206228,10.196,0.5824774673753486
random,24,1250,14.615612172760633,0.3722342778437092,0.972,0.02280350850198278,10.655999999999999,0.4501999555752975
random,25,1300,14.615612172760633,0.3722342778437092,0.964,0.016733200530681527,10.804,0.9116358922289097
random,26,1350,14.615612172760633,0.3722342778437092,0.96,0.014142135623730963,10.34,0.7679843748410511
random,27,1400,14.615612172760633,0.3722342778437092,0.968,0.030331501776206228,10.108,1.0019580829555699
random,28,1450,14.615612172760633,0.3722342778437092,0.964,0.06066300355241241,10.984,0.3943095230906803
random,29,1500,14.615612172760633,0.3722342778437092,0.98,0.020000000000000018,10.696,0.9905957803261629
random,30,1550,14.615612172760633,0.3722342778437092,0.976,0.008944271909999166,10.66,0.40816663263917113
random,31,1600,14.400100344275092,0.30241177884853526,0.956,0.026076809620810618,10.04,1.3285330255586425
random,32,1650,14.400100344275092,0.30241177884853526,0.956,0.02607680962081058,9.872,0.5469186411158431
random,33,1700,14.400100344275092,0.30241177884853526,0.964,0.026076809620810618,11.004,0.9677189674693784
random,34,1750,14.400100344275092,0.30241177884853526,0.96,0.020000000000000018,10.564,0.9338522367055725
random,35,1800,14.400100344275092,0.30241177884853526,0.976,0.026076809620810618,10.416,0.8536275534447091
random,36,1850,14.400100344275092,0.30241177884853526,0.988,0.0268328157299975,10.312,0.5352756299328412
random,37,1900,14.400100344275092,0.30241177884853526,0.96,0.03741657386773942,11.064,0.70333491311039
random,38,1950,14.400100344275092,0.30241177884853526,0.964,0.016733200530681527,10.484,0.5850470066584391
random,39,2000,14.400100344275092,0.30241177884853526,0.964,0.03286335345030996,10.688,1.2578235170324967
random,40,2050,14.400100344275092,0.30241177884853526,0.968,0.03346640106136301,10.648,0.6213855485928204
random,41,2100,14.400100344275092,0.30241177884853526,0.984,0.021908902300206663,10.92,0.9473119866232032
